Sr.No;Basic Salary;House Rent Allowance;Other Allowances;Income Tax;Provident Fund;Professional Tax
173;32324;6663;3905;9697;3031;144
174;60936;9003;3696;18280;2179;177
175;61280;6955;2104;18384;3199;353
176;68241;5200;2189;20472;4916;140
177;69531;7169;2951;20859;3591;313
178;46459;6586;3815;13937;3904;109
179;30226;6359;3287;9067;4508;130
180;68425;5569;2513;20527;1205;147
181;59736;5327;3299;17920;4960;246
182;44304;6531;2434;13291;1392;335
183;53713;8094;3356;16113;3839;230
184;59136;7696;3632;17740;1894;117
185;32604;6289;2537;9781;1056;444
186;32302;5186;3544;9690;3583;182
187;52774;5260;2547;15832;4197;257
188;40785;9881;3350;12235;4331;382
189;36388;7591;2544;10916;1005;299
190;58724;7239;2457;17617;2360;315
191;57627;7118;2090;17288;3985;167
192;45553;8603;2055;13665;3215;289
193;54698;7175;2709;16409;3944;190
194;43493;5243;3304;13047;1187;395
195;65833;5625;2254;19749;4248;181
196;62931;9454;3149;18879;1241;262
197;42176;7968;2399;12652;2659;217
198;42918;7712;3782;12875;1254;391
199;38416;9409;3630;11524;3112;249
200;45996;6572;2231;13798;4437;429
201;66602;6800;3796;19980;2388;287
202;60091;7741;2225;18027;3298;145
203;38979;9775;3287;11693;2980;247
204;34574;8797;2991;10372;3003;447
205;52505;9435;2843;15751;4087;315
206;64913;7429;3175;19473;1441;390
207;51917;9786;2908;15575;2505;357
208;56713;9281;3652;17013;3189;265
209;40736;8413;2262;12220;1819;134
210;60678;7295;3738;18203;2238;410
211;58693;9917;3929;17607;3052;206
212;47702;6863;2911;14310;1099;419
213;48158;5590;2230;14447;3828;171
214;44658;9528;3084;13397;2557;403
215;48625;9999;2641;14587;2833;360
216;57079;5105;3228;17123;4915;233
217;34829;5980;2705;10448;3647;239
218;62386;7786;3552;18715;3167;374
219;57086;5848;3197;17125;1169;256
220;59263;5372;3975;17778;1626;317
221;33470;6102;2675;10041;3164;423
222;38878;7404;2373;11663;3436;119
223;62885;6877;3092;18865;4070;294
224;51499;9219;2968;15449;3406;296
225;43675;5277;3255;13102;1094;302
226;53056;5297;3404;15916;3094;405
227;62707;7749;3685;18812;2495;396
228;62839;9328;2838;18851;3030;182
229;35386;7115;3704;10615;1489;365
230;47141;9016;2492;14142;2297;295
231;61955;7239;2278;18586;1015;114
232;31431;9998;3412;9429;1122;137
233;47893;8272;3595;14367;4564;151
234;37243;8403;2691;11172;3524;113
235;49184;7047;3218;14755;1206;490
236;55360;5396;2650;16608;1305;247
237;35799;6932;2195;10739;1743;108
238;45337;5789;3884;13601;4266;282
239;39901;9098;3909;11970;3792;409
240;35327;7627;2381;10598;3079;111
241;49592;8713;2111;14877;3573;159
242;65215;9198;3373;19564;1056;323
243;40380;8515;2328;12114;4178;379
244;56115;5716;2268;16834;3349;330
245;60196;6877;2385;18058;3157;314
246;31684;6028;2822;9505;1584;262
247;69207;8633;2330;20762;1015;360
248;32343;7879;3223;9702;2640;136
249;53036;8362;3080;15910;3190;454
250;62032;5613;3089;18609;1176;439
251;41696;5309;2746;12508;2531;412
252;34232;7798;3358;10269;1012;196
253;59032;9420;2537;17709;1585;192
254;43718;7689;2293;13115;3596;342
255;46406;7296;3464;13921;3957;223
256;65554;9851;3219;19666;2919;108
257;51248;8090;3016;15374;3655;427
258;49291;5172;3832;14787;3231;154
259;59222;7779;2451;17766;4888;214
260;63603;6975;3050;19080;1730;349
261;34030;5020;2245;10209;2908;247
262;39382;6124;3761;11814;1199;385
263;60083;9800;2577;18024;1904;200
264;59036;6652;3900;17710;2356;221
265;52911;9916;2084;15873;3504;429
266;36840;7628;3108;11052;3232;208
267;68540;5730;3517;20562;1472;408
268;46938;7805;2158;14081;1747;284
269;37750;8076;2232;11325;3664;209
270;48653;8785;3055;14595;3718;242
271;58729;7841;3254;17618;2162;293
272;52425;6572;2215;15727;2584;425
273;37426;6605;3623;11227;1557;416
274;55390;9882;2514;16617;1284;254
275;39521;5988;2713;11856;2689;474
276;67478;5833;3552;20243;3874;295
277;35943;8686;3373;10782;1069;101
278;55315;8182;2865;16594;4944;116
279;40282;8259;3682;12084;2229;410
280;40919;7892;2215;12275;2337;175
281;65929;8362;3837;19778;3688;121
282;69744;7220;2321;20923;1175;151
283;60072;7466;3720;18021;2364;236
284;58025;8156;2364;17407;4420;358
285;45712;5731;3953;13713;2550;259
286;45580;7964;2848;13674;3625;317
287;30719;5854;2185;9215;4281;230
288;67222;9491;2157;20166;2965;215
289;58008;6429;3831;17402;1159;352
290;35150;5203;2862;10545;1676;139
291;32779;6802;3701;9833;2596;322
292;52088;8872;3685;15626;2202;196
293;39928;5766;2407;11978;4838;296
294;30271;6354;2585;9081;3534;421
295;43947;9905;3371;13184;4561;287
296;49039;7630;3067;14711;4567;247
297;66308;5778;3543;19892;4143;332
298;67445;9602;3335;20233;2926;187
299;32196;7723;3488;9658;3042;207
300;66003;5836;2714;19800;3334;319
301;36582;7317;3768;10974;1972;212
302;48647;5025;2835;14594;2283;415
303;61530;5592;2997;18459;2902;322
304;37306;8485;3406;11191;2076;398
305;48114;6128;2111;14434;2952;457
306;64801;6871;3581;19440;3006;206
307;58466;7727;2446;17539;1685;498
308;56032;9742;3763;16809;3743;128
309;49083;8582;3617;14724;4656;290
310;62200;7630;3798;18660;2947;402
311;53171;9701;3491;15951;4267;241
312;67858;5755;3795;20357;1004;179
313;55056;8722;2927;16516;1947;474
314;59510;9683;2895;17853;2367;418
315;52715;9145;2789;15814;2649;445
316;32545;8105;3526;9763;2031;360
317;32304;6443;2824;9691;2394;393
318;65940;7077;2240;19782;4234;123
319;55206;9604;2610;16561;4771;473
320;60351;6612;3647;18105;3546;209
321;42764;8563;2023;12829;3908;170
322;69372;9133;2135;20811;3442;463
323;59387;8245;2997;17816;2441;354
324;61547;7927;2230;18464;4061;436
325;34194;8647;3096;10258;1469;267
326;38328;8827;2179;11498;1903;102
327;59409;5001;2304;17822;2640;457
328;37018;7802;2251;11105;1680;202
329;47614;8392;3428;14284;3914;361
330;31609;6038;3981;9482;1319;201
331;54207;9394;2727;16262;2169;272
332;52084;5981;3873;15625;3670;320
333;41614;5182;2471;12484;2707;109
334;66936;9270;3232;20080;4606;194
335;36283;5772;3798;10884;2853;455
336;69326;8384;2311;20797;3988;488
337;41273;6621;3075;12381;4808;223
338;43248;6339;3910;12974;3682;384
339;58562;7293;3386;17568;1173;365
340;46798;7660;2372;14039;3714;459
341;40776;7093;2522;12232;3502;148
342;55868;5239;3269;16760;4985;175
343;32513;9245;3978;9753;3489;217
344;52299;9093;3192;15689;2512;274
345;62972;7053;3917;18891;4834;375
346;63517;6885;2048;19055;2475;308
347;54893;5506;3216;16467;3873;395
348;52963;7144;3469;15888;1700;179
349;63887;9319;2682;19166;2993;391
350;53409;6219;2465;16022;1400;447
351;42904;9805;2680;12871;3321;455
352;41403;7302;3295;12420;4358;241
353;52503;6893;3913;15750;3479;417
354;54067;9383;2617;16220;1536;146
355;37126;8019;2459;11137;2086;150
356;69297;9852;3877;20789;2144;407
357;59718;5875;3141;17915;3002;277
358;64313;9933;2618;19293;1569;460
359;48957;5292;3021;14687;4977;127
360;49776;8180;2171;14932;1571;418
361;33219;8570;3590;9965;1063;317
362;38802;8653;2848;11640;2640;145
363;37189;7319;3367;11156;1654;248
364;64071;6501;2614;19221;3478;430
365;31540;6655;2295;9462;1485;343
366;53493;9893;3115;16047;3965;327
367;62562;9966;2054;18768;2974;135
368;58204;5982;2251;17461;1834;112
369;69788;9066;3390;20936;2991;490
370;42315;7918;3151;12694;1826;329
371;45501;8843;2710;13650;3672;411
372;62681;5718;3000;18804;1654;145
373;42473;5393;3220;12741;1587;391
374;58854;9595;3840;17656;4600;235
375;35595;6839;2002;10678;1879;273
376;61868;9712;3486;18560;4951;387
377;51992;9606;3672;15597;2356;245
378;35795;7555;3595;10738;2305;291
379;57739;7120;2845;17321;2613;173
380;49107;8620;3290;14732;4542;304
381;59721;9511;2895;17916;3703;319
382;58167;6244;2270;17450;1416;211
383;41239;7870;3628;12371;3826;481
384;31980;7628;3963;9594;3251;162
385;65888;6555;3532;19766;1756;298
386;64876;6902;3411;19462;2847;377
387;38747;8450;3076;11624;1996;332
388;67309;8332;3994;20192;1903;376
389;33408;9322;2487;10022;2984;337
390;56834;9795;2546;17050;4154;357
391;42257;8071;3960;12677;2138;117
392;42388;9932;2088;12716;1415;203
393;30336;8973;2423;9100;1714;281
394;50556;5642;2508;15166;1987;277
395;61332;5366;2848;18399;3706;225
396;62100;9788;3724;18630;4039;297
397;48629;7994;3710;14588;4836;309
398;68554;5617;2604;20566;3322;442
399;55425;8323;2235;16627;4887;473
400;36523;6750;2835;10956;2936;392
401;61340;8779;3322;18402;3136;151
402;65650;8333;2622;19695;3308;104
403;56550;5827;3398;16965;1813;277
404;62863;9934;2481;18858;4946;384
405;65317;9283;3472;19595;4080;338
406;63153;6012;2682;18945;2661;357
407;56031;9433;2210;16809;1237;355
408;69296;6389;3742;20788;2543;129
409;57355;5883;3752;17206;4000;119
410;35507;9256;2088;10652;2125;351
411;31627;9604;2534;9488;2001;294
412;63412;9422;2906;19023;1859;457
413;66423;7147;3093;19926;2404;269
414;63053;9737;3558;18915;3750;117
415;31921;7145;3907;9576;4120;493
416;35806;9436;2278;10741;4653;442
417;44228;5904;3349;13268;4895;230
418;62760;8670;3439;18828;3913;463
419;47050;5951;3320;14115;3846;460
420;43728;9542;2138;13118;2835;351
421;61463;9624;2883;18438;4294;230
422;45050;5535;3377;13515;4288;340
423;57274;9047;3995;17182;3127;220
424;31543;7516;3698;9462;2366;296
425;58718;6118;2899;17615;4043;251
426;63561;6657;3031;19068;2565;443
427;69248;7778;3424;20774;1864;351
428;31057;6883;3462;9317;2238;267
429;67038;6439;3225;20111;2541;165
430;44514;9696;3594;13354;2781;123
431;46056;5189;2040;13816;1240;100
432;36515;9557;2739;10954;1948;380
433;36632;7606;3218;10989;3160;206
434;36212;5591;2056;10863;1454;159
435;60962;6173;2650;18288;3188;443
436;38659;9438;3486;11597;1630;258
437;55672;5945;2778;16701;4293;346
438;32485;7305;2382;9745;1752;348
439;39851;7709;3696;11955;4688;391
440;32710;9246;3161;9813;4932;421
441;50820;8135;2688;15246;2923;259
442;51701;5117;3477;15510;3618;386
443;64685;8156;2131;19405;4032;484
444;36910;7680;2069;11073;2680;404
445;45481;6963;2626;13644;2674;107
446;67422;6916;3108;20226;4705;136
447;40453;9381;3051;12135;3892;442
448;53603;9946;3263;16080;3261;206
449;32479;6226;3329;9743;2209;268
450;52756;8427;2700;15826;2497;497
451;31578;9023;2538;9473;1762;148
452;33930;8758;2754;10179;1846;497
453;56226;6928;3655;16867;1708;264
454;60523;6734;3090;18156;3943;313
455;32566;7950;3575;9769;4895;305
456;63451;6353;2839;19035;4247;406
457;44257;6986;3410;13277;2715;445
458;52388;9963;3507;15716;3451;400
459;53879;5888;3876;16163;3806;327
460;66941;6582;3004;20082;4553;301
461;49599;6148;2689;14879;1015;250
462;62936;8324;3448;18880;3837;443
463;56807;5634;3593;17042;2768;231
464;68412;6891;2933;20523;2446;336
465;49994;5858;3943;14998;3985;353
466;34946;7839;3506;10483;2230;379
467;56338;5796;2110;16901;1117;434
468;46736;6768;3926;14020;3307;477
469;49988;6260;2014;14996;2624;101
470;63539;6455;2141;19061;4943;325
471;47415;8996;3831;14224;3323;349
472;53676;7978;2918;16102;1630;110
473;58572;8705;3164;17571;1947;315
474;69563;8239;3762;20868;3330;349
475;38586;5152;2805;11575;2288;418
476;54773;6293;3362;16431;4264;325
477;62360;5343;3565;18708;2113;271
478;43818;8152;3383;13145;2871;264
479;33603;8446;3557;10080;2438;245
480;32072;8031;2058;9621;1978;250
481;37051;7432;2837;11115;1933;427
482;51794;7941;3555;15538;1356;168
483;46161;5936;2392;13848;2920;318
484;32818;8855;3903;9845;3463;163
485;66250;8470;3774;19875;3658;406
486;49271;6238;3015;14781;2236;150
487;56550;6528;2178;16965;1858;273
488;61099;5967;2951;18329;3839;332
489;62538;5225;2917;18761;2235;119
490;59214;5704;2102;17764;3472;367
491;37040;5392;2879;11112;2004;140
492;62824;5489;2971;18847;3673;242
493;44165;8814;2918;13249;1695;315
494;67699;9318;2757;20309;2005;372
495;38947;6164;2438;11684;1806;275
496;38737;8392;2582;11621;1469;431
497;47622;9875;3132;14286;1107;317
498;48698;6808;3628;14609;4251;343
499;51146;8280;3864;15343;2557;251
500;42030;9145;2528;12609;2266;327
501;30783;7653;2685;9234;2135;298
502;32244;7640;3677;9673;1827;310
503;41412;5287;3943;12423;4645;311
504;31600;5489;3385;9480;2505;418
505;34605;7773;3618;10381;3257;373
506;56359;5765;2554;16907;4115;451
507;58377;9316;3980;17513;2901;174
508;41528;6255;2779;12458;4736;268
509;41884;9860;3808;12565;4576;319
510;68030;5890;2642;20409;2718;471
511;69787;8897;2967;20936;1005;363
512;30438;6615;2001;9131;2617;261
513;35661;6319;3194;10698;4262;481
514;58534;9671;3513;17560;4855;492
515;52823;9462;3005;15846;3110;379
516;30458;5654;3651;9137;1679;315
517;61858;5558;3012;18557;3286;187
518;40758;9707;2984;12227;3295;292
519;63448;7292;3669;19034;4337;344
520;40680;6301;3314;12204;3265;466
521;35460;8610;2240;10638;4971;236
522;69607;7777;3758;20882;1409;282
523;36318;9454;3893;10895;3261;355
524;51771;7131;3833;15531;2580;157
525;66329;6573;2331;19898;3150;198
526;39566;8386;3828;11869;2736;393
527;45559;8040;3699;13667;4254;246
528;50562;9235;2656;15168;4618;487
529;64061;5541;2725;19218;1847;184
530;51598;6299;3662;15479;3228;443
531;42325;8566;2862;12697;1390;393
532;51393;5376;3432;15417;2986;169
533;55936;9671;3545;16780;2814;127
534;64706;9840;2437;19411;3842;398
535;46679;8225;2049;14003;3813;364
536;63846;7435;3950;19153;2786;392
537;35047;6836;3302;10514;4489;333
538;66829;8857;2206;20048;4380;430
539;58244;9600;2192;17473;3194;290
540;33249;6836;3924;9974;3156;192
541;42478;5904;2353;12743;2090;331
542;58920;7537;3979;17676;3200;304
543;67734;9583;2029;20320;2922;337
544;40013;9608;3643;12003;2120;483
545;56657;9409;2152;16997;2814;393
546;52785;7534;2563;15835;3663;498
547;37548;6313;2110;11264;2510;189
548;63286;9069;2850;18985;3006;163
549;65481;6022;3932;19644;2533;456
550;39426;8007;2324;11827;3762;419
551;65285;9625;3583;19585;4891;355
552;30134;9973;3110;9040;2420;119
553;67981;8746;3571;20394;3879;355
554;61492;8978;3267;18447;4206;162
555;51692;6783;3959;15507;2627;426
556;39931;5217;2592;11979;2788;146
557;57055;9576;3081;17116;2495;220
558;58323;8606;2814;17496;2755;369
559;41042;7835;3918;12312;3631;496
560;34169;6295;2225;10250;3795;298
561;62753;9175;3474;18825;2333;404
562;44255;6775;3167;13276;1254;227
563;68654;9623;3210;20596;3248;334
564;36404;8938;2806;10921;1959;176
565;34653;9157;3960;10395;2948;277
566;33874;5479;3651;10162;3576;230
567;64553;9616;2821;19365;2005;148
568;69957;5993;3536;20987;3535;101
569;69638;7399;3387;20891;3191;260
570;59433;9553;2004;17829;4752;385
571;50966;8789;3112;15289;4418;231
572;55078;9529;3143;16523;4127;308
573;42246;9046;3198;12673;3791;284
574;42460;8888;3483;12738;4921;432
575;37536;8762;2772;11260;3624;380
576;52638;9363;2163;15791;2532;325
577;42549;7382;3463;12764;2662;193
578;49038;7942;2861;14711;2937;226
579;39559;8403;2686;11867;4908;429
580;50957;6758;2463;15287;2141;178
581;54126;9054;3620;16237;3405;260
582;60841;9798;2445;18252;1845;279
583;67361;5372;3103;20208;4773;152
584;62304;7357;2250;18691;1219;498
585;45306;6763;3244;13591;1495;300
586;41065;7713;3036;12319;1559;181
587;63475;7851;3219;19042;3329;134
588;32620;7272;3764;9786;2352;147
589;40594;9090;3570;12178;3349;405
590;30534;8578;3590;9160;2815;385
591;51239;9899;2887;15371;2069;217
592;51910;5117;2789;15573;3908;119
593;31769;6781;3816;9530;4570;387
594;48839;6231;3345;14651;2672;115
595;31079;7798;2316;9323;4112;325
596;48690;9522;2843;14607;3781;297
597;40630;9102;2237;12189;4146;112
598;38001;9797;3174;11400;1253;455
599;62123;6348;2561;18636;4981;135
600;55869;9494;2389;16760;2664;427
601;51153;7848;3068;15345;2486;212
602;69143;7656;2724;20742;2977;444
603;58909;5218;2504;17672;2296;363
604;66353;9787;3029;19905;3426;321
605;36229;8706;2022;10868;2383;471
606;56350;6064;3535;16905;3913;300
607;48967;6152;3647;14690;4531;471
608;49065;9552;3362;14719;4254;138
609;69931;7815;3018;20979;3128;236
610;49683;8681;2964;14904;3084;273
611;39198;5595;3345;11759;4419;253
612;34385;6974;2912;10315;1320;263
613;62308;5804;2517;18692;1300;431
614;52391;7322;3248;15717;1306;165
615;40359;5780;3455;12107;1004;340
616;44083;6359;3282;13224;1437;376
617;61910;5206;2673;18573;2946;395
618;43595;9504;2299;13078;4860;115
619;42333;9507;2960;12699;4281;222
620;59946;8350;2701;17983;4415;498
621;62758;7393;3050;18827;2890;241
622;30811;9000;3843;9243;2548;270
623;34146;6342;2613;10243;4035;460
624;44814;6078;3582;13444;2047;242
625;36186;7791;2512;10855;2127;177
626;66288;6695;3044;19886;3200;330
627;63046;9008;3887;18913;1862;234
628;69804;5684;3786;20941;4443;207
629;45460;5743;3519;13638;3081;389
630;34704;9591;3021;10411;3630;147
631;43265;6708;2535;12979;4514;405
632;45128;5976;3566;13538;4842;311
633;53068;9509;3213;15920;4152;443
634;61355;8143;3856;18406;1053;488
635;52869;6129;3828;15860;4109;444
636;43750;8718;2587;13125;1718;428
637;69012;6174;3274;20703;1036;236
638;45273;8305;3887;13581;2149;359
639;56153;9244;3107;16845;2823;414
640;52013;8842;2704;15603;2484;354
641;58119;7288;2292;17435;1635;452
642;30294;7234;2560;9088;2712;429
643;64869;9137;3428;19460;3901;112
644;58197;6238;3470;17459;4349;118
645;68407;6544;3325;20522;1871;169
646;41368;9481;2733;12410;3043;169
647;47736;9178;3408;14320;4950;415
648;62079;9288;2039;18623;2523;268
649;45590;6605;3656;13677;2497;316
650;45354;7815;3378;13606;1497;453
651;64631;7331;2770;19389;4188;278
652;61418;8886;2639;18425;2950;403
653;59530;8653;2698;17859;2626;260
654;31416;9212;3643;9424;3115;308
655;54855;9479;3463;16456;2637;409
656;30914;7014;3119;9274;1111;126
657;35109;6657;3579;10532;3687;256
658;44313;6059;3145;13293;1014;484
659;58398;7355;3348;17519;4036;466
660;30070;5804;2955;9021;3495;160
661;34149;6043;2545;10244;4553;434
662;68835;7396;2555;20650;2392;350
663;62528;5368;3340;18758;3445;101
664;31201;5833;3540;9360;2163;161
665;65541;6026;3043;19662;2510;149
666;40696;9773;3936;12208;1428;180
667;30776;9330;2481;9232;4982;358
668;55189;6775;3562;16556;2003;230
669;55066;5402;3020;16519;1790;134
670;39605;8369;2672;11881;2616;396
671;50816;9609;3458;15244;1622;384
672;40259;6519;2811;12077;1430;324
673;37497;8497;2034;11249;4410;105
674;51907;7821;3507;15572;2114;342
675;35945;7651;3971;10783;3931;385
676;47723;5243;3319;14316;1967;177
677;50921;6548;2607;15276;3877;249
678;69607;8103;3304;20882;1950;284
679;55240;9421;3569;16572;2201;140
680;55655;6516;2960;16696;1379;297
681;54296;9934;3187;16288;3964;466
682;45199;6549;2810;13559;3823;447
683;36461;6131;3128;10938;2685;152
684;55881;7761;2021;16764;3704;266
685;60347;9415;2287;18104;1786;242
686;45472;8684;3525;13641;1643;405
687;51348;7953;3008;15404;3237;251
688;57166;5297;2231;17149;2004;399
689;41250;6566;3851;12375;2154;361
690;63579;6580;2053;19073;2390;295
691;54353;9119;2008;16305;4362;268
692;41741;7312;3645;12522;1865;198
693;39329;7302;2705;11798;3144;263
694;55762;6927;3998;16728;2429;355
695;55845;8227;3570;16753;2291;117
696;48281;9777;3333;14484;4080;275
697;63516;9882;2094;19054;2261;387
698;53155;8535;2143;15946;3507;140
699;65327;9825;3702;19598;1484;121
700;50793;5597;3783;15237;3529;380
701;45787;5720;3473;13736;3497;416
702;67466;8783;3717;20239;4702;338
703;66033;5578;3259;19809;1894;416
704;60901;8680;2898;18270;1852;171
705;65372;8958;2461;19611;3386;437
706;61844;8872;2587;18553;1876;251
707;48389;9359;2321;14516;3707;198
708;33603;6486;2578;10080;2676;405
709;46555;5856;3372;13966;4549;416
710;51002;8077;3655;15300;1334;277
711;58159;5868;3568;17447;1907;432
712;45024;8132;3540;13507;2210;142
713;44492;6993;3038;13347;2372;389
714;39023;6099;2966;11706;2843;233
715;65184;9848;3993;19555;1831;211
716;59705;6112;2482;17911;2263;275
717;40909;8729;3743;12272;1682;365
718;42690;8885;3749;12807;1325;224
719;34802;6372;3563;10440;3591;157
720;53712;5300;3022;16113;3985;247
721;58444;8892;3306;17533;3981;167
722;40227;7454;3489;12068;3945;121
723;38564;8059;2419;11569;3085;174
724;59373;9328;2571;17811;2589;365
725;60888;6206;2166;18266;1955;303
726;50329;8161;2750;15098;3360;146
727;66927;5235;3870;20078;1464;333
728;49965;8186;3572;14989;1000;470
729;56344;5562;3216;16903;4338;458
730;62440;5854;3304;18732;3088;274
731;35616;7628;2148;10684;1336;237
