Sr.No;Basic Salary;House Rent Allowance;Other Allowances;Income Tax;Provident Fund;Professional Tax
449;62846;6448;2466;18853;2931;256
450;35778;8945;3184;10733;4742;320
451;60717;8879;3603;18215;2363;486
452;68655;5117;3883;20596;2827;466
453;65267;6899;2661;19580;3354;368
454;59012;6618;2940;17703;4332;211
455;34935;5109;3044;10480;3650;112
456;56758;7636;3475;17027;4355;328
457;51438;8288;3915;15431;4329;135
458;53787;6413;2226;16136;1448;257
459;50992;5719;2328;15297;3193;340
460;48021;8992;3113;14406;3684;218
461;45440;7272;3371;13632;3388;352
462;61535;7188;3208;18460;2739;214
463;43307;9497;2524;12992;3595;306
464;31173;6263;2221;9351;3993;378
465;65454;7327;3244;19636;3337;210
466;43560;9934;3646;13068;3161;481
467;35775;7204;3227;10732;1397;108
468;53978;5212;2894;16193;3803;186
469;68247;7700;2141;20474;1363;244
470;30735;8623;3533;9220;4308;103
471;68337;6612;3461;20501;4300;119
472;53065;9445;3307;15919;4425;227
473;34540;9476;2433;10362;3900;307
474;45456;7062;3549;13636;3068;478
475;39573;6815;2518;11871;2136;408
476;50206;6781;2128;15061;4027;367
477;63597;5064;2800;19079;1014;294
478;56845;9921;2072;17053;1551;357
479;58270;5004;2054;17481;3899;191
480;48274;9090;3847;14482;2007;305
481;32814;9734;3923;9844;2957;153
482;43253;8353;2411;12975;1537;180
483;46226;5961;2276;13867;4093;478
484;57457;8101;2743;17237;1021;400
485;35397;7053;3061;10619;4804;370
486;61350;5158;3130;18405;2372;288
487;61360;5191;2240;18408;3572;410
488;42862;8979;3355;12858;4710;317
489;63415;6745;3905;19024;4586;344
490;58192;7945;3026;17457;2027;107
491;31800;7375;3304;9540;1631;362
492;62879;5232;2215;18863;4488;277
493;49961;5380;3455;14988;3527;322
494;67048;6550;3363;20114;2093;212
495;54261;6659;2173;16278;1437;107
496;38219;7500;2487;11465;3775;207
497;31276;9628;3167;9382;4490;248
498;45555;7239;2550;13666;4604;458
499;34133;9165;2353;10239;2132;220
500;50707;7791;3789;15212;2697;193
501;45746;6511;2050;13723;1907;324
502;31224;5697;3802;9367;3451;150
503;34257;6873;2673;10277;4370;378
504;57586;7113;3649;17275;2226;490
505;30753;8030;3614;9225;2657;233
506;46457;6986;3879;13937;1425;305
507;67884;7413;3344;20365;3828;278
508;44461;8702;3175;13338;4583;397
509;48072;5802;2803;14421;1583;308
510;47726;5857;2170;14317;4522;177
511;60673;7807;3970;18201;3356;497
512;56055;6281;3773;16816;2791;113
513;65924;7383;3006;19777;4871;364
514;62311;7450;2267;18693;4329;284
515;30302;8114;3732;9090;3478;182
516;33094;8962;2478;9928;1253;454
517;60716;9379;3255;18214;3412;109
518;57085;6427;3135;17125;4945;405
519;68114;5478;2856;20434;4791;314
520;43962;6095;3471;13188;3871;366
521;36570;8626;2840;10971;4508;330
522;49385;6559;2243;14815;2772;281
523;53355;5790;2425;16006;1142;103
524;58332;5055;2158;17499;1351;435
525;61518;9714;2760;18455;1017;256
526;45190;8746;3244;13557;1352;153
527;43030;9140;2479;12909;4516;204
528;42272;5479;2520;12681;4938;174
529;38950;7344;2515;11685;1928;466
530;66374;6878;3645;19912;1111;319
531;61652;9861;3823;18495;3740;239
532;37196;9481;2494;11158;4817;295
533;45182;5285;3628;13554;4168;334
534;67639;9284;2906;20291;4512;331
535;52804;7452;2514;15841;4456;193
536;34828;6700;2047;10448;1545;359
537;45066;9562;3883;13519;1184;103
538;60835;5352;2963;18250;3978;325
539;33300;6884;2457;9990;2403;411
540;36668;6565;3056;11000;2264;478
541;63942;8307;3770;19182;4809;488
542;45032;9638;2285;13509;3063;195
543;43258;6637;2634;12977;3023;203
544;39992;6493;2563;11997;4352;213
545;56078;8701;2632;16823;2579;419
546;40598;7065;2530;12179;1664;334
547;37537;5580;2391;11261;1385;121
548;57525;9530;3425;17257;2777;435
549;38697;7600;2863;11609;2161;387
550;54297;8891;3833;16289;4853;341
551;48674;8621;3943;14602;4041;241
552;37915;6021;2183;11374;4704;485
553;44100;5791;3551;13230;3561;311
554;51535;7184;3076;15460;1210;178
555;60228;7434;2222;18068;3668;228
556;67840;6689;3360;20352;4440;389
557;64409;6515;3639;19322;3613;488
558;41018;8447;3648;12305;3017;488
559;34559;8108;3558;10367;1807;316
560;42040;8001;2492;12612;1174;152
561;53227;7687;2381;15968;4602;483
562;49431;9129;2373;14829;4060;303
563;47233;9724;2700;14169;4989;196
564;30978;6660;2384;9293;1760;419
565;60538;9170;2967;18161;1831;252
566;50622;7665;3940;15186;1518;276
567;59975;9583;2464;17992;4391;222
568;42542;8086;3208;12762;1092;439
569;45130;9445;2142;13539;4654;189
570;31436;8945;2309;9430;4173;267
571;63042;6430;3470;18912;1629;371
572;67868;9242;2416;20360;4540;100
573;34571;5578;3415;10371;4672;474
574;69550;7115;2610;20865;3407;311
575;31712;8153;3600;9513;1031;355
576;45370;6482;2931;13611;2251;215
577;42871;5733;3339;12861;2981;466
578;30881;9420;3731;9264;1569;497
579;49333;6321;2961;14799;1993;170
580;52793;5315;3976;15837;2924;479
581;50618;5984;2824;15185;3098;435
582;42015;8382;3879;12604;2362;353
583;69969;5178;2882;20990;4460;443
584;50625;7757;3798;15187;1857;431
585;57493;5445;3322;17247;2720;381
586;67228;8657;3069;20168;2921;304
587;60131;7775;3962;18039;4050;403
588;34245;8602;3477;10273;4162;205
589;44621;7279;3385;13386;4228;264
590;50725;7325;3271;15217;1062;467
591;61106;6931;2297;18331;4483;180
592;38042;9453;3996;11412;4663;360
593;38085;7614;2871;11425;1074;455
594;60300;8191;2448;18090;3176;369
595;69779;6673;2845;20933;1095;241
596;34045;5126;3139;10213;2009;328
597;52328;7425;2122;15698;2479;426
598;65129;5730;3985;19538;1921;196
599;50752;8150;2272;15225;3131;438
600;42471;9988;3782;12741;1164;294
601;61565;9134;2864;18469;4128;245
602;67789;7211;3638;20336;4388;344
603;56837;9501;2940;17051;3341;100
604;61160;8088;3738;18348;1982;218
605;67125;6721;3645;20137;3090;165
606;52917;9519;3913;15875;1332;280
607;38630;7549;2713;11589;2036;499
608;55446;9938;2431;16633;4901;224
609;68881;6580;2044;20664;2585;281
610;45629;6933;2800;13688;4882;445
611;40871;7644;2838;12261;4484;449
612;38711;9892;2397;11613;4975;463
613;66821;9806;2706;20046;1232;464
614;52324;6661;2731;15697;4252;224
615;37294;9475;2262;11188;2085;390
616;53581;9696;3619;16074;1020;177
617;66168;5789;3850;19850;3994;489
618;46325;9267;2677;13897;3150;350
619;43780;8587;2504;13134;2907;248
620;69542;6625;2573;20862;2086;409
621;30624;7965;2663;9187;3652;408
622;33784;9520;2919;10135;1416;119
623;36401;7859;3130;10920;3903;326
624;39681;7718;3758;11904;2226;496
625;39545;5903;3973;11863;1451;494
626;51531;5629;3826;15459;2565;144
627;51909;9586;2586;15572;3119;224
628;46120;8904;2176;13836;2232;224
629;38881;9159;2171;11664;4195;387
630;32243;9861;2204;9672;1550;154
631;38066;5719;2158;11419;2155;188
632;40018;9200;3164;12005;3968;403
633;62531;8869;2191;18759;4606;440
634;43720;9076;2635;13116;4447;411
635;40656;8437;2571;12196;2805;124
636;49328;5873;3548;14798;3799;317
637;46735;6089;2026;14020;1297;240
638;31854;6782;3373;9556;4031;210
639;51861;6301;2207;15558;2409;238
640;35494;6642;2379;10648;3661;361
641;52127;8056;2238;15638;1443;161
642;46502;5625;2348;13950;4825;379
643;58496;5999;2745;17548;2003;284
644;63312;9481;3236;18993;3508;382
645;45494;9064;2644;13648;2394;318
646;69998;8773;3523;20999;4122;194
647;40937;6535;3847;12281;1014;166
648;63943;7209;2695;19182;2210;222
649;40935;7059;3579;12280;1421;379
650;53099;7577;2452;15929;2224;452
651;45121;6284;3995;13536;3760;420
652;68984;7898;2967;20695;3357;126
653;68530;5750;2952;20559;4874;212
654;59508;6232;2594;17852;2939;338
655;60150;7015;3119;18045;2005;270
656;33337;9821;2362;10001;4054;153
657;44984;7102;3827;13495;3846;188
658;60668;9007;2072;18200;4939;220
659;53419;7062;3384;16025;2038;349
660;47004;7062;3257;14101;4175;273
661;38040;7047;2386;11412;4758;350
662;67335;8708;3429;20200;1457;320
663;56932;7233;2131;17079;1293;397
664;56280;7370;2378;16884;2431;345
665;56244;7207;2023;16873;4624;343
666;35696;5430;3750;10708;3260;350
667;57205;9955;2687;17161;3467;313
668;35287;9767;2037;10586;1852;362
669;64972;6273;2734;19491;2875;149
670;68979;8050;3072;20693;2793;443
671;53628;5083;3943;16088;3493;248
672;36884;7561;2260;11065;3866;161
673;53199;5520;3269;15959;1099;236
674;59991;6782;3319;17997;4674;269
675;58887;6556;3027;17666;3460;325
676;62008;7632;2454;18602;1041;287
677;41420;5013;2499;12426;1273;357
678;32126;7210;2294;9637;2669;151
679;57831;9199;2375;17349;4282;379
680;48301;6868;3579;14490;4575;360
681;52210;7205;2747;15663;3177;368
682;33147;6126;3257;9944;3043;134
683;39246;5576;2291;11773;4723;447
684;51030;7785;3722;15309;4633;202
685;55595;5255;2496;16678;2265;325
686;41164;8477;3555;12349;4490;125
687;32456;9704;3610;9736;1989;282
688;47764;8074;3826;14329;2680;350
689;56991;8447;2814;17097;3584;311
690;63644;6824;2882;19093;3942;116
691;68194;9183;3291;20458;3324;291
692;55563;9338;3546;16668;4130;358
693;47245;8597;3411;14173;3868;280
694;65478;7329;3216;19643;1594;185
695;35265;6829;2515;10579;2837;351
696;67475;8692;3548;20242;1117;185
697;64910;8065;3289;19473;4553;182
698;46662;5886;2045;13998;4687;308
699;39911;5505;3432;11973;3500;360
700;58238;9650;2826;17471;4880;105
701;55163;5058;2467;16548;3934;368
702;35965;9395;3454;10789;2440;325
703;62544;6101;3449;18763;2650;214
704;62611;8681;2386;18783;4541;243
705;62619;6286;2197;18785;2508;377
706;40306;9337;3376;12091;1520;183
707;61528;9048;3479;18458;2225;123
708;30866;7866;3026;9259;2765;485
709;36330;5440;3486;10899;4390;142
710;32645;8411;3986;9793;3775;442
711;30284;6420;2457;9085;1608;349
712;39323;8543;3573;11796;4345;149
713;58767;5959;3941;17630;3005;394
714;39876;8720;2778;11962;4114;483
715;34175;6812;2736;10252;1399;101
716;68297;8799;3250;20489;2992;449
717;69790;5423;2515;20937;3327;359
718;33618;9213;2866;10085;4345;481
719;57027;7967;2117;17108;2917;174
720;57892;6640;2438;17367;4849;384
721;58519;7962;3118;17555;4306;286
722;69042;7327;2634;20712;1084;489
723;62291;7527;2829;18687;3333;364
724;58953;9284;3638;17685;1690;451
725;57498;9275;2901;17249;4697;320
726;52043;8914;3205;15612;2451;134
727;59820;9301;3741;17946;4250;385
728;45739;9534;2624;13721;3320;173
729;48059;7156;3745;14417;2311;315
730;64481;8271;3802;19344;2241;379
731;67395;9777;2678;20218;3967;315
